customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Male,0,y,No,1.0,No,No phone service,Fiberoptic,No,Yes,No,No,No,No,month to month,Yes,Electronic check,29.85,29.85,No
5575-GNVDE,m,0,NO,No,34.0,Yes,No,Fiberoptic,Yes,No,Yes,No,No,No,Two Year,No,Mailed check,56.95,1889.5,No
3668-QPYBK,Male,0,YES,No,2.0,Yes,No,dsl,Yes,Yes,No,No,No,No,2 Year,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Female,0,Yes,No,45.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,1 year,No,Bank transfer (automatic),42.3,1840.75,No
9237-HQITU,Male,0,no,,2.0,Yes,No,fiber,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,70.7,151.65,Yes
9305-CDSKC,Female,0,y,No,8.0,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,2 Year,Yes,Electronic check,99.65,,Yes
1452-KIOVK,fe male,0,n,Yes,22.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,month to month,,Credit card (automatic),89.1,1949.4,No
6713-OKOMC,Male,0,Yes,No,10.0,No,No phone service,Dsl,Yes,No,No,No,No,No,One Year,No,Mailed check,29.75,301.9,No
7892-POOKP,FEMALE,0,YES,,28.0,Yes,Yes,fiber,No,No,Yes,Yes,Yes,Yes,1 Year,Yes,Electronic check,104.8,3046.05,Yes
6388-TABGU,m,0,Yes,Yes,62.0,Yes,No,Dsl,Yes,Yes,No,No,No,No,Two Year,No,Bank transfer (automatic),,3487.95,No
9763-GRSKD,FEMALE,0,Yes,Yes,13.0,Yes,No,fiber optic,Yes,No,No,No,No,No,1 year,Yes,Mailed check,49.95,587.45,No
7469-LKBCI,Male,0,YES,No,16.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 Year,No,Credit card (automatic),18.95,326.8,No
8091-TTVAX,m,0,YES,No,58.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,1 Year,No,Credit card (automatic),,5681.1,No
0280-XJGEX,FEMALE,0,No,No,49.0,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank transfer (automatic),103.7,5036.3,Yes
5129-JLPIS,FEMALE,0,y,No,25.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,1 year,Yes,Electronic check,105.5,2686.05,No
3655-SNQYZ,Female,0,No,Yes,69.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit card (automatic),113.25,7895.15,No
8191-XWSZG,Male,0,No,No,52.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Mailed check,20.65,1022.95,No
9959-WOFKT,fe male,0,YES,,71.0,Yes,Yes,dsl,Yes,No,Yes,No,Yes,Yes,Two Year,No,Bank transfer (automatic),106.7,7382.25,No
4190-MFLUW,fe male,0,NO,Yes,10.0,Yes,No,Fiberoptic,No,No,Yes,Yes,No,No,1 Year,No,Credit card (automatic),55.2,528.35,Yes
4183-MYFRB,m,0,y,No,21.0,Yes,No,fiber optic,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Electronic check,90.05,1862.9,No
8779-QRDMV,FEMALE,1,Yes,No,1.0,No,No phone service,fiber,No,No,Yes,No,No,Yes,2 year,Yes,Electronic check,39.65,39.65,Yes
1680-VDCWW,FEMALE,0,YES,No,12.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 Year,No,Bank transfer (automatic),19.8,202.25,No
1066-JKSGK,Male,0,Yes,No,1.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Mailed check,20.15,20.15,Yes
3638-WEABW,Male,0,no,No,58.0,Yes,Yes,fiber,No,Yes,No,Yes,No,No,month to month,Yes,Credit card (automatic),59.9,3505.1,No
6322-HRPFA,Male,0,Yes,Yes,49.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,2 Year,No,Credit card (automatic),59.6,2970.3,No
6865-JZNKO,m,0,Yes,No,30.0,Yes,No,Fiberoptic,Yes,Yes,No,No,No,No,One Year,Yes,Bank transfer (automatic),55.3,1530.6,No
6467-CHFZW,Male,0,Yes,Yes,47.0,Yes,Yes,dsl,No,Yes,No,No,Yes,Yes,month to month,Yes,Electronic check,99.35,4749.15,Yes
8665-UTDHZ,f,0,No,Yes,,No,No phone service,fiber optic,No,Yes,No,No,No,No,month to month,No,Electronic check,30.2,30.2,Yes
5248-YGIJN,fe male,0,No,No,72.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 year,Yes,Credit card (automatic),90.25,6369.45,No
8773-HHUOZ,fe male,0,y,Yes,17.0,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,Yes,Mailed check,64.7,1093.1,Yes
3841-NFECX,m,1,YES,No,71.0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,1 Year,Yes,Credit card (automatic),96.35,6766.95,No
4929-XIHVW,m,1,Yes,No,2.0,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,2 Year,Yes,Credit card (automatic),95.5,181.65,No
6827-IEAUQ,fe male,0,YES,Yes,27.0,Yes,No,fiber optic,Yes,Yes,Yes,Yes,No,No,2 year,No,Mailed check,66.15,1874.45,No
7310-EGVHZ,Female,0,NO,No,1.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,No,Bank transfer (automatic),20.2,20.2,No
3413-BMNZE,Female,1,Yes,No,1.0,Yes,No,DSL,No,No,No,No,No,No,1 Year,No,Bank transfer (automatic),45.25,45.25,No
6234-RAAPL,Male,0,YES,Yes,72.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,month to month,No,Bank transfer (automatic),99.9,7251.7,No
6047-YHPVI,f,0,no,,5.0,Yes,No,fiber optic,No,No,No,No,No,No,1 Year,Yes,Electronic check,69.7,316.9,Yes
6572-ADKRS,f,0,n,No,46.0,Yes,No,DSL,No,No,Yes,No,No,No,month to month,Yes,Credit card (automatic),74.8,3548.3,No
5380-WJKOV,Male,0,n,No,34.0,Yes,Yes,Dsl,No,Yes,Yes,No,Yes,Yes,1 year,Yes,Electronic check,106.35,3549.25,Yes
8168-UQWWF,Male,0,Yes,No,11.0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,1 year,,Bank transfer (automatic),,1105.4,Yes
8865-TNMNX,Male,0,n,Yes,10.0,Yes,No,fiber,No,Yes,No,No,No,No,2 year,No,Mailed check,49.55,475.7,No
9489-DEDVP,Male,0,No,Yes,70.0,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,No,Two Year,Yes,Credit card (automatic),69.2,4872.35,No
9867-JCZSP,Female,0,NO,Yes,17.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Mailed check,20.75,418.25,No
4671-VJLCL,Male,0,n,No,63.0,Yes,Yes,Fiberoptic,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit card (automatic),79.85,4861.45,No
4080-IIARD,fe male,0,Yes,No,13.0,Yes,Yes,fiber optic,Yes,Yes,No,Yes,Yes,No,2 year,Yes,Electronic check,76.2,981.45,No
3714-NTNFO,FEMALE,0,NO,No,49.0,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Electronic check,84.5,3906.7,No
5948-UJZLF,Male,0,NO,No,,Yes,No,Fiber Optic,No,Yes,No,No,No,No,1 Year,,Mailed check,49.25,97,No
7760-OYPDY,FEMALE,0,no,No,,Yes,No,Dsl,No,No,No,No,Yes,No,Two Year,Yes,Electronic check,80.65,144.15,Yes
7639-LIAYI,FEMALE,0,NO,No,52.0,Yes,Yes,Fiberoptic,Yes,No,No,Yes,Yes,Yes,month to month,Yes,Credit card (automatic),79.75,4217.8,No
2954-PIBKO,Male,0,Yes,Yes,69.0,Yes,Yes,fiber optic,Yes,No,Yes,Yes,No,No,Two Year,Yes,Credit card (automatic),64.15,4254.1,No
8012-SOUDQ,fe male,1,y,No,43.0,Yes,Yes,DSL,No,Yes,No,No,Yes,No,2 Year,Yes,Electronic check,90.25,3838.75,No
9420-LOJKX,m,0,YES,No,15.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Credit card (automatic),99.1,1426.4,Yes
6575-SUVOI,Female,1,NO,No,25.0,Yes,Yes,Dsl,Yes,No,No,Yes,Yes,No,1 Year,Yes,Credit card (automatic),69.5,1752.65,No
7495-OOKFY,Male,1,Yes,No,8.0,Yes,Yes,DSL,No,Yes,No,No,No,No,2 Year,Yes,Credit card (automatic),80.65,633.3,Yes
4667-QONEA,f,1,NO,Yes,60.0,Yes,No,dsl,Yes,Yes,Yes,Yes,No,Yes,1 year,Yes,Credit card (automatic),74.85,4456.35,No
1658-BYGOY,Male,1,n,No,18.0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,2 year,Yes,Electronic check,95.45,1752.55,Yes
8769-KKTPH,fe male,0,Yes,Yes,63.0,Yes,Yes,Fiberoptic,Yes,No,No,No,Yes,Yes,2 Year,Yes,Credit card (automatic),99.65,6311.2,No
5067-XJQFU,fe male,1,Yes,Yes,66.0,Yes,Yes,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,month to month,,Electronic check,108.45,7076.35,No
